Date,Headline
2023-05-23T18:51:33Z,Netflix starts charging for account sharing in the US
2023-05-23T10:45:54Z,Netflix makes it easier to find titles you've added to your list but haven't watched yet
2023-05-22T18:16:14Z,Netflix is making it easier to find saved shows and movies you still haven’t watched
2023-05-06T13:30:27Z,Netflix is launching a remastered 'World of Goo' on May 23rd
2023-05-11T15:56:41Z,"Netflix canceled its in-person upfront, probably to avoid the WGA’s picket lines"
2023-05-09T15:45:37Z,Quick fixes: take a screenshot on your streaming video service
2023-05-04T17:20:00Z,Netflix's One Piece Series Gets an Update From Eiichiro Oda
2023-06-01T15:35:19Z,"One Piece, 3 Body Problem, and The Last Airbender are all coming to Netflix’s Tudum"
2023-05-10T14:20:00Z,"Updates From TMNT: Mutant Mayhem, and More"
2023-05-04T18:52:44Z,Netflix’s One Piece adaptation sounds like it might have hit some choppy waters
2023-05-25T20:00:00Z,"From Disney+ to Max, Here Are the Best Streaming Services"
2023-05-19T20:46:58Z,Disney+ and Hulu will remove a slew of titles on May 26th
2023-05-23T18:29:00Z,Netflix updates policy on user account sharing - Reuters
2023-06-02T02:00:32Z,Netflix shareholders withhold support for executive pay package - Reuters
2023-05-07T14:30:00Z,Stranger Things 5 Production Halted as Duffer Bros. Stand with WGA
2023-05-27T13:00:00Z,Netflix’s Password-Sharing Crackdown Has Hit the US
2023-05-17T21:44:00Z,Netflix says ad tier now has nearly 5 million monthly active users - Reuters
2023-05-26T19:07:00Z,"Obama Crossed the Picket Line, Striking Writers Say"
2023-05-05T17:00:00Z,The Out-of-Touch Adults’ Guide to Kid Culture: Is Tubi Secretly the Best Streaming Service?
2023-06-04T12:00:26Z,Amazon is reportedly trying to offer Prime subscribers free cell phone service
2023-05-26T18:13:50Z,Amazon Prime Video throws shade at Netflix for new password-sharing guidelines
2023-05-16T14:18:48Z,Netflix warns UK broadband firms of crackdown on password sharing
2023-05-23T19:11:45Z,Netflix crackdown on password sharing reaches the UK
2023-05-22T21:03:43Z,Netflix update makes it easier to find the content you haven't watched yet (but want to)
2023-05-04T13:15:02Z,"Streaming TV in May Brings Drama and Adventure, So Keep These Services - CNET"
2023-05-17T20:01:00Z,Netflix Alerts Telecoms Groups Over Looming Account-Sharing Crackdown
2023-05-23T22:37:13Z,Netflix's controversial password-sharing crackdown hits the US
2023-05-12T14:42:00Z,Netflix Plans To Cut Spending by $300 Million in 2023
2023-05-23T16:00:00Z,Former Netflix exec starts Midwest game publisher
2023-06-01T11:15:03Z,June Is Busy for Streaming Services. Let's Help You Decide Which Ones to Keep - CNET
2023-05-23T08:27:56Z,"Arnold Schwarzenegger got a buzzy new job with no real function at Netflix, and he bulldozed a Mercedes Benz with his own tank to announce it"
2023-05-31T19:39:34Z,Drive to Survive commentator sacked from Formula E over ‘inappropriate behaviour’
2023-05-23T19:09:00Z,Netflix's Password Sharing Crackdown Officially Hits US Customers
2023-05-27T15:32:58Z,Netflix users slam streamer for password-sharing ban: 'I've literally never cancelled a membership so fast'
2023-05-23T19:01:26Z,Netflix is going to charge $8 to add someone to your account
2023-05-06T11:56:07Z,Ex-Yahoo CEO Marissa Mayer admits the company should have bought Netflix instead of Tumblr as it 'would have been a better acquisition'
2023-06-02T22:48:17Z,Netflix investors voted against rich pay packages for the company's top execs amid the ongoing Hollywood writers' strike
2023-05-18T16:25:18Z,Almost 5 Million People Are Using Netflix's New Plan With Ads - CNET
2023-05-30T17:40:47Z,AC Podcast 605: Netflix's Password-Sharing Crackdown Hits The US
2023-05-24T14:33:24Z,Netflix Password-Sharing Is No Longer Free in the US - CNET
2023-05-04T15:51:46Z,Amazon plans to rework Alexa in the age of ChatGPT
2023-05-29T18:57:19Z,The Witcher is officially one of the most successful game series of all time
2023-05-14T16:37:20Z,Bafta TV awards 2023: the full list of winners
2023-05-24T16:15:48Z,Netflix drops the first trailer for Skull Island
2023-05-26T10:15:14Z,Digested week: Netflix bans password-sharing – but I’m close to bailing anyway | Emma Brockes
2023-05-06T14:00:10Z,‘I don’t recall so many attractive people’: experts reveal what The Diplomat gets right – and wrong
2023-05-05T09:00:00Z,The best movies on Netflix UK
2023-05-09T14:30:27Z,"Netflix’s next Bird Box movie has more Barcelona, less Bullock"
